Client;Content Type;Type;Image filename;Impressions;Click-Through Rate;Engagement Rate;Total Engagement;Open Rate;Audience;Total Views;Link label;URL (original post);Platform (video only);Priority;Translated
Remotivate;LinkedIn post;image;remotivate_valentina_mora.png;40k;92.3%;92.4%;;;;;View on LinkedIn;https://www.linkedin.com/posts/new-openings-at-remotivatejobscom-ugcPost-7455605823013257217-1PeJ/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;1;FALSE
Remotivate;LinkedIn post;image;remotivate_valentina_mora_2.png;68k;5.4%;5.5%;;;;;View on LinkedIn;https://www.linkedin.com/posts/letsremotivate-ugcPost-7425500589113077760-nJ7j/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;FALSE
Anna Shcherbyna;LinkedIn post;image;anna_shcherbyna_valentina_mora_3.png;215k;;;1.5k;;;;View on LinkedIn;https://www.linkedin.com/posts/letsremotivate-ugcPost-7425500589113077760-nJ7j/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;2;FALSE
Anna Shcherbyna;LinkedIn post;image;anna_valentina_mora_4.png;71k;;;790;;;;View on LinkedIn;https://www.linkedin.com/posts/letsremotivate-ugcPost-7425500589113077760-nJ7j/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;4;FALSE
Anna Shcherbyna;LinkedIn post;image;anna_valentina_mora_5.png;34k;;;477;;;;View on LinkedIn;https://www.linkedin.com/posts/anna-shcherbyna_remote-employees-are-less-loyal-at-least-activity-7399092168461746176-cEuw?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;6;FALSE
Anna Shcherbyna;LinkedIn post;image;anna_valentina_mora_6.png;62k;;;351;;;;View on LinkedIn;https://linkedin.com/feed/update/urn:li:activity:7379505490982019073;;;FALSE
Remotivate;LinkedIn post;image;remotivate_valentina_mora_6.png;6k;23.2%;23.5%;;;;;View on LinkedIn;https://www.linkedin.com/feed/update/urn:li:activity:7386671839747510272;;3;FALSE
Remotivate;Newsletter;image;remotivate_valentina_mora_7.png;;;;;46.9%;B2B;;Read Newsletter;https://preview.mailerlite.io/preview/697661/emails/179307327167399507;;7;FALSE
Remotivate;Newsletter;image;remotivate_valentina_mora_8.png;;;;;44.4%;B2B;;Read Newsletter;https://preview.mailerlite.io/preview/697661/emails/165243640135812240;;;FALSE
Remotivate;Newsletter;image;remotivate_valentina_mora_9.png;;;;;46.5%;B2B;;Read Newsletter;https://preview.mailerlite.io/preview/697661/emails/166442526285235696;;;FALSE
Anna Shcherbyna;Short Video;video;anna_valentina_mora_10.png;;;;;;;2.7k;Watch on Instagram;https://www.instagram.com/reel/DTlGB0FivM3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;instagram;;FALSE
Girl in Corporation;Short Video;video;girlin_valentina_mora_11.png;;;;;;;33.6k;Watch on Instagram;https://www.instagram.com/reel/Cvhgjert7eS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;instagram;;TRUE
